grandid,damname,lon,lat,upreal,ix,iy,fldsto_mcm,consto_mcm,totalsto_mcm,fldsto/uparea,Qn,Qf
1631,DillonLake,-82.0829163,39.9954185,1921.0,392,200,198.19200609418635,139.8079939058137,338.0,0.10317126813856653,27.850018,213.49801025390624
1330,PresaGuadalupeVictoria,-104.7537537,23.9620838,1879.0,302,263,17.487442140341862,63.51255785965814,81.0,0.009306781341320843,6.3457885,71.05827484130859
384,JacksonLake,-110.5912476,43.8579178,1963.0,278,184,77.7617336700698,999.0382663299299,1076.8,0.039613720667381454,41.81747,302.81839599609367
4725,KalriLake,68.050415,24.8995838,1804.0,994,261,1273.2253317514571,1254.174668248543,2527.4,0.7057790087314064,1.1482114,41.55541076660156
131,ClairEngleLake,-122.762085,40.80374910000001,1789.0,229,197,408.08760065856455,2225.4123993414355,2633.5,0.2281093351920428,45.08813,722.0442626953125
2503,AcudeAtalho,-38.8987503,-7.642083199999999,1976.0,564,391,82.1018471226417,26.198152877358297,108.3,0.04154951777461624,6.4944042999999985,337.54921875
5013,Kabini,76.3504181,11.970417,2161.0,1025,313,62.83824785403243,489.8617521459676,552.7,0.029078319229075632,104.03102,930.3325927734377
2020,LaMothe,-71.14125059999998,48.720417,2007.0,436,165,223.25541134355603,816.744588656444,1040.0,0.1112383713719761,54.927124,233.2773559570313
2950,Mellah,-7.3312502,33.5037498,1810.0,692,227,9.137692612713463,8.862307387286537,18.0,0.005048448957300256,0.56567556,62.19950408935546
699,ElSalto,-106.6870804,24.1329174,1799.0,294,264,149.67237710190875,278.32762289809125,428.0,0.08319754146854294,13.344728,527.1614868164062
6668,Glenmaggie,146.7962494,-37.904583,1899.0,1309,512,14.744084174993816,175.25591582500618,190.0,0.0077641306872005345,2.997749,114.88418884277344
4815,Maudaha,79.7095795,25.5887508,1810.0,1039,258,110.4003587839571,89.5996412160429,200.0,0.06099467336130227,13.995174,546.883447265625
4093,Cunningham,29.2445831,-20.3670826,1886.0,838,442,86.79257775592136,86.70742224407864,173.5,0.04601939435626797,1.9751006,153.01851196289059
1181,LakeTawakoni,-95.9162521,32.8162498,2020.0,335,228,546.6915166258452,1500.9084833741547,2047.6,0.27063936466626,13.067969,529.6910888671873
4355,Koitere,30.529583,62.80791850000001,2165.0,842,111,199.9932985553545,700.0067014446455,900.0,0.09237565753134157,25.529032,79.72630004882812
4952,Jalaput,82.54875179999998,18.4579163,1960.0,1051,287,133.9739843219628,836.6260156780372,970.6,0.06835407363365449,45.49122,1981.458984375
3812,Bucecea,26.3670826,47.782917,2128.0,825,169,7.957241554638635,17.042758445361365,25.0,0.003739305241841464,13.663676,123.24943542480469
4201,Dreihuk,18.6087494,-28.0962505,2021.0,795,472,14.887220744002333,0.6127792559976689,15.5,0.007366264593766616,0.1351636,41.093408203125
867,Altoona,-91.4429169,44.8170815,2101.0,356,182,5.814715004125983,11.485284995874018,17.3,0.0027675940048196013,18.94754,148.11152343749995
3761,Imielin,19.2337494,50.1120834,2100.0,798,159,7.310249998482695,45.1897500015173,52.5,0.003481071427848903,11.762786,118.14467468261721
4721,Hemawas,73.3370819,25.7345829,2373.0,1011,256,44.08515160442995,18.51484839557005,62.6,0.01857781357118835,1.042425,29.33708038330078
5051,Randenigala,80.92124940000002,7.203750099999999,2344.0,1043,331,246.0555405086677,613.9444594913323,860.0,0.1049725002170084,88.86410500000002,2696.014453125
3423,Grandval,3.075417,44.9204178,1779.0,735,180,151.50978279711126,140.49021720288874,292.0,0.08516570140366006,23.002373,347.94759521484366
1339,Chicayan,-98.1537476,21.7345829,1898.0,328,274,307.7544614956398,262.2455385043602,570.0,0.16214671311677545,10.012265,222.0945373535156
1545,FrenchLanding,-83.4412537,42.2137489,1961.0,385,191,12.544406259237105,18.25559374076289,30.8,0.006396943528422797,20.241488,116.75099487304684
2770,NoName,-4.3120828,40.3745842,1962.0,703,199,34.10923729233445,114.19076270766556,148.3,0.01738493236102673,4.452424,254.8966735839844
1787,GreatFallsLake,-85.6212463,35.8012505,2293.0,378,218,42.58680897441556,19.31319102558444,61.9,0.018572528990150702,31.226479,493.64443359375
2061,LacMagog,-71.9612503,45.3804169,1982.0,432,179,31.24355272345082,76.55644727654919,107.8,0.01576364920456651,45.863926,149.41832885742187
41,Ross,-121.0687485,48.7329178,2599.0,236,165,53.88491083556461,1738.0150891644355,1791.9,0.02073293991364548,85.53954,493.2379760742188
4240,Katse,28.5045834,-29.333749800000003,1852.0,834,478,162.94199566405226,1787.0580043359478,1950.0,0.08798163912745803,15.413929,636.9911865234375
5170,BangLang,101.2712479,6.155417,1978.0,1126,335,361.8545205233712,1042.1454794766291,1404.0,0.18293959581565786,57.290546,947.7298828125
523,Gunnison,-111.7079163,39.2079163,1900.0,276,206,13.80127153540999,16.99872846459001,30.8,0.007263827123899995,0.64099866,19.772270965576173
4880,KangsabatiKumari,86.7420807,22.9579163,1974.0,1069,268,391.1154583521232,644.8845416478769,1036.0,0.19813346421080202,25.937101,485.17935791015617
2982,Dakiri,-0.27875,13.30375,2351.0,717,305,5.06305203132161,5.43694796867839,10.5,0.002153573811706342,0.19370437,19.372620391845704
275,Murray,-110.9370804,49.8245811,2426.0,277,161,8.191788322311107,22.60821167768889,30.8,0.003376664601117521,0.41951773,21.671459197998047
2316,CruzdelEje,-64.7537537,-30.7670822,1893.0,460,485,10.515413497217764,118.48458650278224,129.0,0.005554893553733632,6.3968225,321.2474487304688
3486,ElGrado1,0.235417,42.1537514,2140.0,721,191,55.520884124353024,343.479115875647,399.0,0.025944338375865898,21.472294,372.4784912109375
3001,Loumbila,-1.4037499,12.4954166,2096.0,715,310,24.206312434410954,10.793687565589046,35.0,0.011548813184356372,1.7237573,205.9790954589844
1532,SenecaLake,-76.86374659999998,42.9020844,1956.0,414,189,10.142467463735443,282.2575325362645,292.4,0.005185310564281924,31.989105,55.268939208984364
2341,MariMenuco,-68.49124909999999,-38.58375170000001,2049.0,446,514,19.285872631696066,1360.714127368304,1380.0,0.009412334129671093,0.15528116,19.02510108947753
144,BlackButteLake,-122.3412476,39.8162498,1941.0,231,201,43.05256471576064,134.24743528423937,177.3,0.022180610363606718,18.131798,222.07776489257813
1586,J.EdwardRoushLake,-85.4670868,40.847084,2160.0,380,197,113.49184185870662,75.30815814129339,188.8,0.05254251937903085,20.958658,47.397006225585926
3421,Monteynard,5.6904168,44.9612503,2013.0,743,181,143.45483523431182,131.54516476568818,275.0,0.0712642003151077,41.541847,342.44271240234366
2277,Camatague,-66.9454193,9.8204174,2100.0,452,321,476.5780649154817,1097.3219350845184,1573.9,0.2269419356740389,13.109975,197.50458984375
436,ChimneyDam,-117.1795807,41.3954163,1997.0,252,195,37.480105877747185,43.91989412225282,81.4,0.01876820524674371,1.1054358,16.395615005493163
5355,Meishan,115.8787537,31.66791730000001,1919.0,1184,234,1169.493344722157,1105.506655277843,2275.0,0.6094285277343184,37.28154,1090.38515625
254,BerryCreekReservoir,-111.637085,51.2579155,1905.0,274,155,5.541010670098611,12.958989329901387,18.5,0.002908667018424468,0.7895879,50.793983459472656
5477,Fushui,114.8795853,29.693750399999995,2434.0,1178,240,415.4392120858449,1314.560787914155,1730.0,0.17068168121850652,33.205242,343.27393798828126
3521,LagoOmodeo,8.8604174,40.0162506,2103.0,756,200,209.16250032046642,538.8374996795336,748.0,0.09945910619137728,2.3878477000000005,107.34806213378906
1709,SummersvilleLake,-80.89125059999998,38.224582700000006,2061.0,397,207,285.01300215732624,224.88699784267368,509.9,0.13828869585508308,46.064625,577.6858520507812
4753,Mula,74.60874940000002,19.3395824,2317.0,1018,282,280.0195788517387,456.28042114826127,736.3,0.12085437153721998,22.87211,733.90693359375
1782,FallsLake,-78.5829163,35.9454155,1983.0,406,216,599.5827227993037,659.8172772006964,1259.4,0.30236143358512546,13.416126,191.34146118164062
2835,Alange,-6.2704172,38.7862511,2525.0,693,203,241.678412939877,610.021587060123,851.7,0.09571422294648596,2.6365035,80.27342834472654
5201,Yuqiao,117.4412537,40.0337486,2116.0,1191,200,715.2131053546367,843.7868946453633,1559.0,0.3380024127384861,3.306333,149.80519409179686
4780,Linganamakki,74.8479156,14.1754169,1991.0,1020,304,2161.06757083684,2273.93242916316,4435.0,1.085418167170688,127.14811,913.740380859375
4410,Tercan,40.402916,39.7554169,2180.0,882,203,27.609877072113193,150.3901229278868,178.0,0.012665081225739998,32.53593,478.1531982421875
5531,Hunanzhen,118.8379135,28.6895828,2153.0,1197,248,660.0552930003594,1399.9447069996404,2060.0,0.3065746832328655,66.62153,1415.09765625
5796,Noi,105.4304199,15.206250199999998,2051.0,1142,300,272.02775301587707,1693.9722469841226,1966.0,0.13263176646312874,47.585125,405.95753173828126
2447,BarragemPassoFundo,-52.7379189,-27.5504169,2189.0,509,471,307.69271299653656,1262.3072870034634,1570.0,0.14056313978827614,53.76624,523.5136596679687
1714,CaveRunLake,-83.5320816,38.11624910000001,2116.0,387,208,308.00221430170615,449.49778569829385,757.5,0.14555870241101426,24.304266,100.71962585449221
2398,Graminha,-46.6237488,-21.5770836,2549.0,532,448,159.82529029833637,400.1747097016636,560.0,0.0627011731260637,20.8687,257.7994812011719
198,NewMelones,-120.52458190000002,37.9495811,2369.0,239,208,523.4117455242231,2461.588254475777,2985.0,0.22094206227278307,48.572445,1026.5414794921874
49,LakeChelan,-120.02458190000002,47.840416,2378.0,239,168,94.02050997981873,739.9794900201813,834.0,0.03953764086619795,75.782425,334.9103027343749
