3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
353,Willow_Creek_Reservoir,-119.542,45.342,380.4,243,179,4.140000000000001,12.16,16.3,0.12648837,10.521467208862305
355,Yellowtail,-107.958,45.308,51444.5,289,179,731.3599999999999,1029.24,1760.6,32.433914,135.07342529296875
356,Ruby_Dam,-112.108,45.242,1538.2,272,180,34.1,37.9,72.0,2.0343907,11.057243347167969
359,Tongue_River_Dam,-106.775,45.125,4622.9,293,180,58.86,126.14,185.0,3.082044,42.60346603393555
361,Thief_Valley,-117.775,45.008,2372.8,249,180,1.91,19.59,21.5,5.3455925,81.05848693847656
362,Clark_Canyon,-112.858,44.992,5993.3,269,181,18.92586980984169,198.87413019015833,217.8,7.5956163,87.38456726074219
364,Hebgen_Dam,-111.342,44.858,2817.4,275,181,27.24000000000001,621.06,648.3,12.874395,126.92025756835938
365,Brownlee,-116.908,44.825,170408.3,253,181,383.1499999999999,1368.45,1751.6,387.3015,2086.865234375
367,Mason,-118.008,44.675,529.8,248,181,32.24,58.46,90.7,0.92920023,36.26331329345703
368,Lima,-112.358,44.658,1371.1,272,182,12.78,151.32,164.1,4.1613917,34.34748840332031
370,Cascade,-116.058,44.525,1717.0,256,182,72.94663375446885,732.5533662455312,805.5,9.942239,107.7335433959961
372,Unity,-118.175,44.508,811.5,248,182,5.323144207713657,25.776855792286344,31.1,1.4976994,68.94305419921875
373,Buffalo_Bill,-109.192,44.508,3977.8,283,183,90.6427687216742,655.3572312783258,746.0,4.262695,143.3302001953125
374,Island_Park,-111.392,44.425,1827.3,275,183,14.01815013864092,142.98184986135908,157.0,8.552938,97.29525756835938
375,Mann_Creek,-116.892,44.392,187.1,253,182,6.93,6.77,13.7,0.9614699,19.180709838867188
376,Willow_Creek_Reservoir_3,-117.675,44.358,1202.2,250,183,39.03,21.369999999999997,60.4,1.7557825,124.65679168701172
377,Deadwood,-115.642,44.292,497.8,258,183,30.130374132109324,169.6696258678907,199.8,3.1695008,48.16893005371094
380,Ashton,-111.492,44.075,2864.4,275,184,1.91,10.19,12.1,13.395727,158.94189453125
382,Bully_Creek,-117.392,44.008,1233.9,250,184,18.34,18.66,37.0,1.6951844,86.26171875
